state,top_or_bottom,rank_state,postcode,suburb,individuals,avg_taxable_income,median_taxable_income,rank_australia
TAS,Bottom,4,7182,"CAPE PILLAR, FORTESCUE, PORT ARTHUR",134,42982,40512,2562
TAS,Bottom,5,7186,"SALTWATER RIVER, SLOPING MAIN",93,43585,36764,2549
TAS,Bottom,6,7180,TARANNA,84,46005,37372,2510
TAS,Bottom,7,7213,"AVOCA, ROSSARDEN, ROYAL GEORGE, STORYS CREEK",163,47067,45939,2481
TAS,Bottom,8,7216,"AKAROA, BINALONG BAY, GOSHEN, GOULDS COUNTRY, LOTTAH, PYENGANA, ST HELENS, STIEGLITZ, THE GARDENS",1923,47233,36920,2473
TAS,Bottom,9,7027,COLEBROOK,174,47766,46498,2457
TAS,Bottom,10,7174,COPPING,112,48166,44578,2443
VIC,Top,1,3142,"HAWKSBURN, TOORAK",9857,241511,79456,4
VIC,Top,2,3944,PORTSEA,641,222254,72315,7
VIC,Top,3,3206,"ALBERT PARK, MIDDLE PARK",6954,168276,80173,17
VIC,Top,4,3929,FLINDERS,780,167480,52768,19
VIC,Top,5,3762,BYLANDS,80,161344,63573,21
VIC,Top,6,3186,"BRIGHTON, BRIGHTON NORTH, DENDY",16895,160486,72357,23
VIC,Top,7,3144,"KOOYONG, MALVERN, MALVERN NORTH",7996,151134,75639,29
VIC,Top,8,3928,MAIN RIDGE,309,146173,56058,33
VIC,Top,9,3002,EAST MELBOURNE,3711,145000,78557,36
VIC,Top,10,3126,"CAMBERWELL EAST, CANTERBURY",5548,141546,64347,44
VIC,Bottom,1,3482,"WATCHEM, WATCHEM WEST, MORTON PLAINS, WARMUR, MASSEY",101,27987,42458,2615
VIC,Bottom,2,3889,"BELLBIRD CREEK, BEMM RIVER, CABBAGE TREE CREEK, CLUB TERRACE, COMBIENBAR, ERRINUNDRA, MANORINA",80,31937,25524,2611
VIC,Bottom,3,3520,"KINYPANIAL, KORONG VALE",60,38286,32450,2598
VIC,Bottom,4,3432,BOLINDA,123,38735,45172,2597
VIC,Bottom,5,3310,"MERINO, TAHARA WEST",150,39454,40158,2589
VIC,Bottom,6,3891,"GENOA, GIPSY POINT, MARAMINGO CREEK, WALLAGARAUGH, WANGARABELL, WINGAN RIVER, WROXHAM",67,40080,37626,2586
VIC,Bottom,7,3323,"BERRYBANK, DUVERNEY, FOXHOW",67,40681,40249,2585
VIC,Bottom,8,3468,"AMPHITHEATRE, MOUNT LONARCH",162,41084,32960,2583
VIC,Bottom,9,3873,GORMANDALE,226,41459,43336,2582
VIC,Bottom,10,3617,BYRNESIDE,97,41498,31933,2581
WA,Top,1,6011,"COTTESLOE, PEPPERMINT GROVE",6919,213621,83598,9
WA,Top,2,6012,MOSMAN PARK,6320,189700,66027,13
WA,Top,3,6015,CITY BEACH,5010,171083,82556,14
WA,Top,4,6009,"BROADWAY NEDLANDS, CRAWLEY, DALKEITH, NEDLANDS, NEDLANDS DC",12510,156422,64943,27
WA,Top,5,6010,"CLAREMONT, CLAREMONT NORTH, KARRAKATTA, MOUNT CLAREMONT, SWANBOURNE",12830,143220,70865,38
WA,Top,6,6029,TRIGG,2128,125877,75459,69
WA,Top,7,6713,"DAMPIER, DAMPIER ARCHIPELAGO",792,119425,100777,86
WA,Top,8,6159,NORTH FREMANTLE,2889,119331,66386,87
WA,Top,9,6716,"FORTESCUE, HAMERSLEY RANGE, MILLSTREAM, PANNAWONICA",377,118889,141527,90
WA,Top,10,6721,"INDEE, MUNDABULLANGANA, PARDOO, PORT HEDLAND, REDBANK, STRELLEY, WALLAREENYA, WEDGEFIELD",2802,117920,100534,93
WA,Bottom,1,6321,CRANBROOK,307,43139,39169,2558
WA,Bottom,2,6262,"BOORARA BROOK, CROWEA, MEERUP, NORTHCLIFFE, SHANNON, WINDY HARBOUR",447,49286,36514,2394
WA,Bottom,3,6420,"CRAMPHORNE, MUNTADGIN",71,49521,61742,2383
WA,Bottom,4,6393,"DURANILLIN, MOODIARRUP",62,50911,53241,2328
WA,Bottom,5,6398,"BROKE, NORTH WALPOLE, WALPOLE",353,51975,35827,2262
WA,Bottom,6,6336,"COWALELLUP, MILLS LAKE, MINDARABIN, NEEDILUP, ONGERUP, TOOMPUP",217,52248,45939,2236
WA,Bottom,7,6042,SEABIRD,50,53199,32436,2182
WA,Bottom,8,6322,TENTERDEN,158,53520,41690,2167
WA,Bottom,9,6290,"AUGUSTA, DEEPDENE, EAST AUGUSTA, KUDARDUP, LEEUWIN, MOLLOY ISLAND",1135,54297,38668,2110
WA,Bottom,10,6765,"FITZROY CROSSING, KUPARTIYA, MOUNT HARDMAN",998,54350,39598,2101
