state,postcode,individuals,taxable_individuals,total_taxable_income,avg_taxable_income,median_taxable_income,rank_australia,rank_state
VIC,3213,2900,2880,208376210,71854,54590,858,189
VIC,3214,12031,11888,618879124,51440,47472,2299,618
VIC,3215,12952,12849,873771761,67462,56015,1130,262
VIC,3216,37474,37206,2567441838,68513,54564,1058,246
VIC,3217,16795,16672,1164690359,69347,61386,1004,233
VIC,3218,9737,9673,749372880,76961,62611,618,136
VIC,3219,11592,11494,700079329,60393,52286,1628,403
VIC,3220,11702,11613,1122861479,95955,60426,229,63
VIC,3221,1343,1336,124343938,92587,58859,274,71
VIC,3222,10910,10827,723813263,66344,52638,1205,288
VIC,3223,5676,5611,337494217,59460,45132,1707,430
VIC,3224,8993,8937,558384642,62091,52458,1511,369
VIC,3225,3569,3538,286220386,80196,48207,503,112
VIC,3226,11073,11003,821455871,74185,55495,739,164
VIC,3227,3480,3447,352133981,101188,58896,185,53
VIC,3228,15540,15434,1364649050,87815,61128,339,85
VIC,3230,1966,1947,157388896,80055,49394,510,113
VIC,3231,1020,1009,72159178,70744,45228,917,205
VIC,3232,902,888,68900405,76386,47914,636,143
VIC,3233,1486,1466,83603193,56261,43701,1946,493
VIC,3234,131,127,9040937,69015,45648,1023,237
VIC,3235,279,274,17373967,62272,43170,1499,365
VIC,3236,156,155,8035482,51510,44677,2292,615
VIC,3237,169,165,8448921,49994,37438,2370,637
VIC,3238,170,164,9513567,55962,34093,1975,501
VIC,3239,277,264,16639087,60069,44028,1649,414
VIC,3240,1506,1492,109357319,72614,55391,817,179
VIC,3241,2010,1982,125580901,62478,49565,1478,361
VIC,3242,668,660,42124437,63061,46854,1429,348
VIC,3243,257,257,14460604,56267,46392,1945,492
VIC,3249,2247,2207,127541243,56761,47449,1902,481
VIC,3250,7733,7658,464407867,60055,50693,1650,415
VIC,3251,352,345,18451070,52418,45281,2228,593
VIC,3254,193,191,11338699,58750,54278,1757,443
VIC,3260,2835,2793,167728212,59163,49260,1731,436
VIC,3264,1404,1389,86092953,61320,49201,1551,380
VIC,3265,1688,1659,106965199,63368,52009,1404,340
VIC,3266,1857,1837,109872345,59167,48565,1730,435
VIC,3267,174,171,10133629,58239,51536,1791,450
VIC,3268,1824,1778,103101629,56525,46959,1923,486
VIC,3269,440,434,27644505,62828,48537,1450,353
VIC,3270,176,171,18956581,107708,45482,142,36
VIC,3271,130,128,5837528,44904,35223,2540,678
VIC,3272,923,902,48170767,52189,44584,2244,601
VIC,3273,100,96,5121148,51211,38739,2313,620
VIC,3274,153,147,6431508,42036,39420,2575,687
VIC,3275,330,330,20621565,62490,53447,1475,360
VIC,3276,312,305,17700380,56732,49739,1905,482
VIC,3277,1175,1162,84916042,72269,51904,837,182
VIC,3278,205,203,12695392,61929,49789,1520,372
VIC,3279,233,231,15487361,66469,49586,1193,285
VIC,3280,21156,21014,1318571648,62326,51938,1493,364
VIC,3281,1255,1242,87813080,69971,54140,969,217
VIC,3282,1832,1818,110582077,60361,51095,1629,404
VIC,3283,871,861,58165069,66780,54044,1179,283
VIC,3284,2269,2240,148263434,65343,48353,1278,306
VIC,3285,793,785,49074408,61885,48382,1523,373
VIC,3286,354,346,20611479,58225,42693,1792,451
VIC,3287,291,284,13997707,48102,44309,2446,656
VIC,3289,469,461,23887408,50933,43653,2325,625
VIC,3292,95,95,4900249,51582,37926,2283,613
VIC,3293,198,195,10890283,55001,46022,2054,524
VIC,3294,653,641,31784786,48675,41279,2415,647
VIC,3300,6124,6060,354208811,57839,48292,1821,457
VIC,3301,846,832,45883859,54236,46008,2117,551
VIC,3302,258,254,13468987,52205,41395,2243,600
VIC,3303,195,194,11684669,59921,48390,1665,419
VIC,3304,1542,1515,88055460,57105,46267,1872,469
VIC,3305,7664,7586,461243304,60183,49963,1643,412
VIC,3309,66,66,3466860,52528,35027,2225,591
VIC,3310,150,147,5918078,39454,40158,2589,694
VIC,3311,896,888,47835520,53388,43215,2176,575
VIC,3312,599,581,33071162,55211,44611,2041,520
VIC,3314,369,359,19437420,52676,44947,2216,587
VIC,3315,1011,986,48616832,48088,42030,2447,657
VIC,3317,114,114,6160917,54043,41734,2134,556
VIC,3318,726,704,38576739,53136,44465,2188,579
VIC,3319,234,230,12919019,55209,47504,2042,521
VIC,3321,1121,1102,80241904,71581,55275,871,192
